school_code,dsa_cca,dsa_category
3072,"Community Youth Leadership (Girls and Boys)","Clubs and Societies"
3072,"National Civil Defence Cadet Corps (NCDCC) (Girls and Boys)","Uniform Group"
3072,"Concert Band (Girls and Boys)",Arts
3072,"Guzheng Ensemble (Girls and Boys)",Arts
3072,"Robotics (Girls and Boys)","Clubs and Societies"
3072,"STEM (Girls and Boys)","Clubs and Societies"
3072,"Netball (Girls)",Sports
3072,"Rugby (Boys)",Sports
3072,"Wushu (Girls and Boys)",Sports
3201,"Critical Social Inquiry and Media Literacy (Girls and Boys)","Clubs and Societies"
3201,"Community Youth Leadership (Girls and Boys)","Clubs and Societies"
3201,"Music (Girls and Boys)",Arts
3201,"Shooting (Girls and Boys)",Sports
3201,"Track and Field (Girls and Boys)",Sports
3001,"Malay Language (Girls and Boys)","Clubs and Societies"
3001,"Chinese Dance (Girls)","Clubs and Societies"
3001,"Concert Band (Girls and Boys)",Arts
3001,"Basketball (Girls and Boys)",Sports
3001,"Netball (Girls)",Sports
3001,"Table Tennis (Girls)",Sports
3001,"Volleyball (Girls)",Sports
3001,"Wushu (Girls and Boys)",Sports
3026,"Choir (Girls and Boys)",Arts
3026,"Concert Band (Girls and Boys)",Arts
3026,"English Drama (Girls and Boys)",Arts
3026,"Malay Dance (Girls and Boys)",Arts
3026,"Modern Dance (Girls and Boys)",Arts
3026,"Badminton (Girls and Boys)",Sports
3026,"Basketball (Boys)",Sports
3026,"Football (Boys)",Sports
3026,"Volleyball (Girls and Boys)",Sports
7101,"Chinese Language (Girls and Boys)","Clubs and Societies"
7101,"Boys' Brigade (Boys)","Uniform Group"
7101,"Girls' Brigade (Girls)","Uniform Group"
7101,"Chinese Drama (Girls and Boys)","Clubs and Societies"
7101,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
7101,"Choir (Girls and Boys)",Arts
7101,"Concert Band (Girls and Boys)",Arts
7101,"English Drama (Girls and Boys)",Arts
7101,"Modern Dance (Girls)",Arts
7101,"Robotics (Girls and Boys)","Clubs and Societies"
7101,"Badminton (Girls and Boys)",Sports
7101,"Basketball (Girls and Boys)",Sports
7101,"Table Tennis (Girls and Boys)",Sports
7101,"Wushu (Girls and Boys)",Sports
7032,"Debating (Boys)","Clubs and Societies"
7032,"Chinese Orchestra (Boys)","Clubs and Societies"
7032,"Choir (Boys)",Arts
7032,"Concert Band (Boys)",Arts
7032,"English Drama (Boys)",Arts
7032,"Modern Dance (Boys)",Arts
7032,"Digital Media (Boys)","Clubs and Societies"
7032,"Robotics (Boys)","Clubs and Societies"
7032,"Badminton (Boys)",Sports
7032,"Basketball (Boys)",Sports
7032,"Bowling (Boys)",Sports
7032,"Floorball (Boys)",Sports
7032,"Football (Boys)",Sports
7032,"Hockey (Boys)",Sports
7032,"Rugby (Boys)",Sports
7032,"Swimming (Boys)",Sports
7032,"Table Tennis (Boys)",Sports
7032,"Tennis (Boys)",Sports
7032,"Track (Boys)",Sports
7032,"Water Polo (Boys)",Sports
7001,"Humanities (Boys) - IP","Clubs and Societies"
7001,"Humanities (Boys)","Clubs and Societies"
7001,"Music Elective Programme (Boys) - IP","Clubs and Societies"
7001,"Music Elective Programme (Boys)","Clubs and Societies"
7001,"Mathematics (Boys) - IP","Clubs and Societies"
7001,"Mathematics (Boys)","Clubs and Societies"
7001,"Robotics (Boys) - IP","Clubs and Societies"
7001,"Robotics (Boys)","Clubs and Societies"
7001,"Science (Boys) - IP","Clubs and Societies"
7001,"Science (Boys)","Clubs and Societies"
7001,"Badminton (Boys) - IP",Sports
7001,"Badminton (Boys)",Sports
7001,"Basketball (Boys) - IP",Sports
7001,"Basketball (Boys)",Sports
7001,"Bowling (Boys) - IP",Sports
7001,"Bowling (Boys)",Sports
7001,"Canoeing (Boys) - IP",Sports
7001,"Canoeing (Boys)",Sports
7001,"Cricket (Boys) - IP",Sports
7001,"Cricket (Boys)",Sports
7001,"Cross Country (Boys) - IP",Sports
7001,"Cross Country (Boys)",Sports
7001,"Golf (Boys) - IP",Sports
7001,"Golf (Boys)",Sports
7001,"International Chess (Boys) - IP","Clubs and Societies"
7001,"International Chess (Boys)","Clubs and Societies"
7001,"Rugby (Boys) - IP",Sports
7001,"Rugby (Boys)",Sports
7001,"Sailing (Boys) - IP",Sports
7001,"Sailing (Boys)",Sports
7001,"Shooting (Boys) - IP",Sports
7001,"Shooting (Boys)",Sports
7001,"Softball (Boys) - IP",Sports
7001,"Softball (Boys)",Sports
7001,"Squash (Boys) - IP",Sports
7001,"Squash (Boys)",Sports
7001,"Swimming (Boys) - IP",Sports
7001,"Swimming (Boys)",Sports
7001,"Tennis (Boys) - IP",Sports
7001,"Tennis (Boys)",Sports
7001,"Track and Field (Boys) - IP",Sports
7001,"Track and Field (Boys)",Sports
7001,"Water Polo (Boys) - IP",Sports
7001,"Water Polo (Boys)",Sports
7002,"Basketball (Girls and Boys)",Sports
7002,"Football (Boys)",Sports
7002,"Judo (Girls and Boys)",Sports
3002,"Community Youth Leadership (Girls and Boys)","Clubs and Societies"
3002,"Chemical and Applied Sciences (Fragrance) (Girls and Boys)","Clubs and Societies"
3002,"Football (Boys)",Sports
3003,"Leadership (Girls and Boys)","Clubs and Societies"
3003,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3003,"Choir (Girls and Boys)",Arts
3003,"Concert Band (Girls and Boys)",Arts
3003,"English Drama (Girls and Boys)",Arts
3003,"Malay Dance (Girls and Boys)",Arts
3003,"Modern Dance (Girls and Boys)",Arts
3003,"STEM (Girls and Boys)","Clubs and Societies"
3003,"Badminton (Girls and Boys)",Sports
3003,"Canoeing (Girls and Boys)",Sports
3003,"Football (Boys)",Sports
3003,"Volleyball (Girls)",Sports
3003,"Wushu (Girls and Boys)",Sports
3069,"Choir (Girls and Boys)",Arts
3069,"Concert Band (Girls and Boys)",Arts
3069,"English Drama (Girls and Boys)",Arts
3069,"Modern Dance (Girls and Boys)",Arts
3069,"Tchoukball (Girls and Boys)",Sports
3027,"Innovation (Girls and Boys)","Clubs and Societies"
3027,"Badminton (Girls and Boys)",Sports
3027,"Basketball (Boys)",Sports
3027,"Floorball (Girls and Boys)",Sports
3027,"Football (Boys)",Sports
3027,"Netball (Girls)",Sports
3027,"Outdoor Adventure (Girls and Boys)",Sports
3027,"Swimming (Girls and Boys)",Sports
3225,"Media/Journalism (Girls and Boys)","Clubs and Societies"
3225,"Leadership (Girls and Boys)","Clubs and Societies"
3225,"Badminton (Boys)",Sports
3225,"Basketball (Girls and Boys)",Sports
3225,"Football (Boys)",Sports
3225,"Netball (Girls)",Sports
3225,"Track and Field (Girls and Boys)",Sports
3225,"Photography/Videography (Girls and Boys)","Clubs and Societies"
3021,"Football (Boys)",Sports
3021,"Tchoukball (Girls and Boys)",Sports
3224,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3224,"Choir (Girls and Boys)",Arts
3224,"Concert Band (Girls and Boys)",Arts
3224,"English Drama (Girls and Boys)",Arts
3224,"Malay Dance (Girls and Boys)",Arts
3224,"Modern Dance (Girls and Boys)",Arts
3224,"Theatre (Girls and Boys)",Arts
3224,"Badminton (Girls and Boys)",Sports
3224,"Basketball (Boys)",Sports
3224,"Football (Girls)",Sports
3224,"Netball (Girls)",Sports
3224,"Visual Arts (Girls and Boys)",Arts
3043,"Entrepreneurship (Girls and Boys)","Clubs and Societies"
3043,"Community Youth Leadership (Girls and Boys)","Clubs and Societies"
3043,"Marching Band (Girls and Boys)",Arts
3043,"Badminton (Girls and Boys)",Sports
3043,"Football (Girls and Boys)",Sports
3202,"Entrepreneurship (Girls and Boys)","Clubs and Societies"
3202,"STEM (Girls and Boys)","Clubs and Societies"
3044,"Leadership (Girls and Boys)","Clubs and Societies"
3044,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3044,"English Drama (Girls and Boys)",Arts
3044,"Malay Dance (Girls and Boys)",Arts
3044,"Robotics (Girls and Boys)","Clubs and Societies"
3044,"STEM (Girls and Boys)","Clubs and Societies"
3044,"Basketball (Boys)",Sports
3044,"Cross Country (Girls and Boys)",Sports
3044,"Rugby (Boys)",Sports
3044,"Softball (Girls)",Sports
3203,"STEM (Girls and Boys)","Clubs and Societies"
3203,"Basketball (Girls and Boys)",Sports
3203,"Floorball (Girls and Boys)",Sports
3203,"Tchoukball (Girls)",Sports
3204,"Malay Language (Girls and Boys)","Clubs and Societies"
3204,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3204,"Concert Band (Girls and Boys)",Arts
3204,"Basketball (Boys)",Sports
3204,"Floorball (Boys)",Sports
3204,"Netball (Girls)",Sports
3204,"Volleyball (Girls and Boys)",Sports
3040,"Leadership (Girls and Boys)","Clubs and Societies"
3040,"Choir (Girls and Boys)",Arts
3040,"Concert Band (Girls and Boys)",Arts
3040,"English Drama (Girls and Boys)",Arts
3040,"Modern Dance (Girls and Boys)",Arts
3040,"Coding (Girls and Boys)","Clubs and Societies"
3040,"Environmental Science (Girls and Boys)","Clubs and Societies"
3040,"STEM - Aerospace and Aviation (Girls and Boys)","Clubs and Societies"
3040,"Badminton (Boys)",Sports
3040,"Table Tennis (Girls and Boys)",Sports
3040,"Volleyball (Girls)",Sports
3621,"Media Arts/Film/Photography (Girls and Boys)","Clubs and Societies"
7102,"Bilingualism (Boys) - IP","Clubs and Societies"
7102,"Humanities (Boys) - IP","Clubs and Societies"
7102,"Leadership (Boys) - IP","Clubs and Societies"
7102,"Leadership (Boys)","Clubs and Societies"
7102,"Chinese Drama (Boys) - IP","Clubs and Societies"
7102,"Chinese Drama (Boys)","Clubs and Societies"
7102,"Chinese Orchestra (Boys) - IP","Clubs and Societies"
7102,"Chinese Orchestra (Boys)","Clubs and Societies"
7102,"Choir (Boys) - IP",Arts
7102,"Choir (Boys)",Arts
7102,"Concert Band (Boys) - IP",Arts
7102,"Concert Band (Boys)",Arts
7102,"English Drama (Boys) - IP",Arts
7102,"English Drama (Boys)",Arts
7102,"Modern Dance (Boys) - IP",Arts
7102,"Modern Dance (Boys)",Arts
7102,"Music Elective Programme (Boys) - IP","Clubs and Societies"
7102,"Music Elective Programme (Boys)","Clubs and Societies"
7102,"Mathematics (Boys) - IP","Clubs and Societies"
7102,"Science (Boys) - IP","Clubs and Societies"
7102,"Basketball (Boys) - IP",Sports
7102,"Basketball (Boys)",Sports
7102,"Floorball (Boys) - IP",Sports
7102,"Floorball (Boys)",Sports
7102,"Softball (Boys) - IP",Sports
7102,"Softball (Boys)",Sports
7102,"Table Tennis (Boys) - IP",Sports
7102,"Table Tennis (Boys)",Sports
7102,"Track and Field (Boys) - IP",Sports
7102,"Track and Field (Boys)",Sports
7102,"Volleyball (Boys) - IP",Sports
7102,"Volleyball (Boys)",Sports
7102,"Wushu (Boys) - IP",Sports
7102,"Wushu (Boys)",Sports
3004,"Social Innovation (Girls) - IP","Clubs and Societies"
3004,"Social Innovation (Girls)","Clubs and Societies"
3004,"Badminton (Girls) - IP",Sports
3004,"Badminton (Girls)",Sports
3004,"Basketball (Girls) - IP",Sports
3004,"Basketball (Girls)",Sports
3004,"Netball (Girls) - IP",Sports
3004,"Netball (Girls)",Sports
3004,"Table Tennis (Girls) - IP",Sports
3004,"Table Tennis (Girls)",Sports
3004,"Track and Field (Girls) - IP",Sports
3004,"Track and Field (Girls)",Sports
3004,"Volleyball (Girls) - IP",Sports
3004,"Volleyball (Girls)",Sports
3402,"Community Youth Leadership (Girls and Boys)","Clubs and Societies"
3402,"STEM - Aerospace and Aviation (Girls and Boys)","Clubs and Societies"
7008,"Debating And Public Speaking (Girls)","Clubs and Societies"
7008,"Chinese Drama (Girls)","Clubs and Societies"
7008,"Chinese Orchestra (Girls)","Clubs and Societies"
7008,"Choir (Girls)",Arts
7008,"Concert Band (Girls)",Arts
7008,"English Drama (Girls)",Arts
7008,"Modern Dance (Girls)",Arts
7008,"Badminton (Girls)",Sports
7008,"Bowling (Girls)",Sports
7008,"Floorball (Girls)",Sports
7008,"Track and Field (Girls)",Sports
7008,"Visual Arts (Girls)",Arts
7004,"Debating (Girls)","Clubs and Societies"
7004,"Choir (Girls)",Arts
7004,"Concert Band (Girls)",Arts
7004,"Badminton (Girls)",Sports
7004,"Basketball (Girls)",Sports
7004,"Bowling (Girls)",Sports
7004,"Netball (Girls)",Sports
7004,"Rhythmic Gymnastics (Girls)",Sports
7004,"Tennis (Girls)",Sports
7004,"Track and Field (Girls)",Sports
7019,"Debate and Theatre (Girls)","Clubs and Societies"
7019,"Leadership (Girls)","Clubs and Societies"
7019,"Netball (Girls)",Sports
7118,"Bilingualism (Girls) - IP","Clubs and Societies"
7118,"Leadership (Girls) - IP","Clubs and Societies"
7118,"Leadership (Girls)","Clubs and Societies"
7118,"STEM (Girls) - IP","Clubs and Societies"
7118,"Artistic Gymnastics (Girls) - IP",Arts
7118,"Artistic Gymnastics (Girls)",Arts
7118,"Badminton (Girls) - IP",Sports
7118,"Badminton (Girls)",Sports
7118,"Hockey (Girls) - IP",Sports
7118,"Hockey (Girls)",Sports
7118,"Netball (Girls) - IP",Sports
7118,"Netball (Girls)",Sports
7118,"Rhythmic Gymnastics (Girls) - IP",Sports
7118,"Rhythmic Gymnastics (Girls)",Sports
7118,"Table Tennis (Girls) - IP",Sports
7118,"Table Tennis (Girls)",Sports
7118,"Track and Field (Girls) - IP",Sports
7118,"Track and Field (Girls)",Sports
7023,"Research and Presentation Skills (Girls)","Clubs and Societies"
7023,"Floorball (Girls)",Sports
7023,"Hockey (Girls)",Sports
7023,"Netball (Girls)",Sports
7023,"Softball (Girls)",Sports
7023,"Track and Field (Girls)",Sports
7025,"Leadership (Girls and Boys)","Clubs and Societies"
7025,"Basketball (Girls and Boys)",Sports
7025,"Outdoor Adventure (Girls and Boys)",Sports
3055,"Community Youth Leadership (Girls and Boys)","Clubs and Societies"
3055,"Modern Dance (Girls and Boys)",Arts
3055,"STEM (Girls and Boys)","Clubs and Societies"
3055,"Hockey (Girls)",Sports
7104,"Chinese Language (Girls and Boys)","Clubs and Societies"
7104,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
7104,"Concert Band (Girls and Boys)",Arts
7104,"Badminton (Girls and Boys)",Sports
7104,"Basketball (Girls and Boys)",Sports
7104,"Netball (Girls)",Sports
7104,"Table Tennis (Girls and Boys)",Sports
7104,"Volleyball (Girls and Boys)",Sports
7104,"Wushu (Girls and Boys)",Sports
7105,"Chinese Dance (Girls)","Clubs and Societies"
7105,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
7105,"Choir (Girls and Boys)",Arts
7105,"Concert Band (Girls and Boys)",Arts
7105,"Guzheng Ensemble (Girls and Boys)",Arts
7105,"Modern Dance (Girls and Boys)",Arts
7105,"Basketball (Boys)",Sports
7105,"Volleyball (Girls and Boys)",Sports
7105,"Wushu (Girls and Boys)",Sports
3029,"Girl Guides (Girls)","Uniform Group"
3029,"National Cadet Corps (NCC) Land (Boys)","Uniform Group"
3029,"National Civil Defence Cadet Corps (NCDCC) (Girls and Boys)","Uniform Group"
3029,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3029,"Concert Band (Girls and Boys)",Arts
3029,"English Drama (Girls and Boys)",Arts
3029,"Modern Dance (Girls and Boys)",Arts
3029,"Science and Technology (Girls and Boys)","Clubs and Societies"
3029,"Badminton (Boys)",Sports
3029,"Netball (Girls)",Sports
3029,"Volleyball (Boys)",Sports
3029,"Wushu (Girls and Boys)",Sports
3012,"Tamil Language (Girls and Boys)","Clubs and Societies"
3012,"Chinese Dance (Girls)","Clubs and Societies"
3012,"Choir (Girls and Boys)",Arts
3012,"Concert Band (Girls and Boys)",Arts
3012,"English Drama (Girls and Boys)",Arts
3012,"Indian Dance (Girls and Boys)",Arts
3012,"Malay Dance (Girls and Boys)",Arts
3012,"Coding (Girls and Boys)","Clubs and Societies"
3012,"Environmental Science (Girls and Boys)","Clubs and Societies"
3012,"Badminton (Girls and Boys)",Sports
3012,"Basketball (Boys)",Sports
3012,"Cross Country (Girls and Boys)",Sports
3012,"Football (Boys)",Sports
3012,"Netball (Girls)",Sports
3622,"STEM - Aeronautics (Girls and Boys)","Clubs and Societies"
3622,"Floorball (Girls and Boys)",Sports
3622,"Softball (Boys)",Sports
3005,"Leadership (Girls)","Clubs and Societies"
3005,"Chinese and Modern Dance (Girls)","Clubs and Societies"
3005,"Choir (Girls)",Arts
3005,"Concert Band (Girls)",Arts
3005,"Music Elective Programme (Girls)","Clubs and Societies"
3005,"Badminton (Girls)",Sports
3005,"Canoeing (Girls)",Sports
3005,"Hockey (Girls)",Sports
3005,"Netball (Girls)",Sports
3005,"Softball (Girls)",Sports
3005,"Track and Field (Girls)",Sports
3056,"Girl Guides (Girls)","Uniform Group"
3056,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3056,"Choir (Girls and Boys)",Arts
3056,"Concert Band (Girls and Boys)",Arts
3056,"Canoeing (Girls)",Sports
3056,"Netball (Girls)",Sports
3056,"Rugby (Boys)",Sports
3228,"Media/Journalism (Girls and Boys)","Clubs and Societies"
3228,"Leadership (Girls and Boys)","Clubs and Societies"
3228,"National Cadet Corps (NCC) Land (Boys)","Uniform Group"
3228,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3228,"St John Brigade (Girls and Boys)","Uniform Group"
3228,"Choir (Girls and Boys)",Arts
3228,"English Drama (Girls and Boys)",Arts
3228,"Marching Band (Girls and Boys)",Arts
3228,"Modern Dance (Girls and Boys)",Arts
3228,"Basketball (Girls)",Sports
3228,"Table Tennis (Girls and Boys)",Sports
3228,"Volleyball (Boys)",Sports
3228,"Visual Arts (Girls and Boys)",Arts
3503,"Community Youth Leadership (Girls and Boys)","Clubs and Societies"
3503,"Food Science and Technology (Girls and Boys)","Clubs and Societies"
3101,"Bilingualism (Girls and Boys)","Clubs and Societies"
3101,"Leadership (Girls and Boys)","Clubs and Societies"
3101,"Chinese Dance (Girls and Boys)","Clubs and Societies"
3101,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3101,"Choir (Girls and Boys)",Arts
3101,"Concert Band (Girls and Boys)",Arts
3101,"Modern Dance (Girls and Boys)",Arts
3101,"Music Elective Programme (Girls and Boys)","Clubs and Societies"
3101,"String Ensemble (Girls and Boys)",Arts
3101,"STEAM (Science, Technology, Engineering, Aesthetics and Mathematics) (Girls and Boys)","Clubs and Societies"
3101,"Badminton (Girls and Boys)",Sports
3101,"Basketball (Girls and Boys)",Sports
3101,"Sailing (Girls and Boys)",Sports
3101,"Table Tennis (Girls and Boys)",Sports
3101,"Track and Field (Girls and Boys)",Sports
3101,"Volleyball (Girls and Boys)",Sports
3101,"Wushu (Girls and Boys)",Sports
3207,"Leadership (Girls and Boys)","Clubs and Societies"
3207,"Choir (Girls and Boys)",Arts
3207,"Concert Band (Girls and Boys)",Arts
3207,"STEM (Girls and Boys)","Clubs and Societies"
3207,"Badminton (Boys)",Sports
3207,"Basketball (Girls and Boys)",Sports
3207,"Football (Girls)",Sports
3207,"Netball (Girls)",Sports
3207,"Volleyball (Boys)",Sports
3609,"Leadership (Girls and Boys)","Clubs and Societies"
3075,"Innovation (Girls and Boys)","Clubs and Societies"
3075,"Leadership (Girls and Boys)","Clubs and Societies"
3075,"Taekwondo (Girls and Boys)",Sports
3075,"Volleyball (Boys)",Sports
3623,"Chinese Language (Girls and Boys)","Clubs and Societies"
3623,"Debating And Public Speaking (Girls and Boys)","Clubs and Societies"
3623,"Journalism (Girls and Boys)","Clubs and Societies"
3623,"Malay Language (Girls and Boys)","Clubs and Societies"
3623,"Leadership (Girls and Boys)","Clubs and Societies"
3623,"Badminton (Girls and Boys)",Sports
3623,"Cross Country (Girls and Boys)",Sports
3623,"Netball (Girls)",Sports
3623,"Rugby (Boys)",Sports
3623,"Table Tennis (Girls and Boys)",Sports
3623,"Volleyball (Girls and Boys)",Sports
7309,"Choir (Girls and Boys)",Arts
7309,"Concert Band (Girls and Boys)",Arts
7309,"Modern Dance (Girls and Boys)",Arts
7309,"Badminton (Girls and Boys)",Sports
7309,"Basketball (Boys)",Sports
7309,"Football (Boys)",Sports
7309,"Volleyball (Girls and Boys)",Sports
3614,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3614,"Choir (Girls and Boys)",Arts
3614,"Concert Band (Girls and Boys)",Arts
3614,"Applied Sciences - Forensic Science (Girls and Boys)","Clubs and Societies"
3614,"Badminton (Girls and Boys)",Sports
3614,"Shooting (Girls and Boys)",Sports
3614,"Tchoukball (Girls and Boys)",Sports
3006,"Choir (Girls and Boys)",Arts
3006,"English Drama (Girls and Boys)",Arts
3006,"Marching Band (Girls and Boys)",Arts
3006,"Modern Dance (Girls and Boys)",Arts
3006,"STEM (Girls and Boys)","Clubs and Societies"
3006,"Basketball (Boys)",Sports
